X,Y,id,UFI,PFI,LGA_CODE,LGA_NAME,GAZ_LGA,GAZREGN,ABSLGACODE,TASK_ID,PFI_CR,UFI_OLD,UFI_CR,LABEL_USE_
145.006919967125,-37.7383228270803,,857596452,"316","316",DAREBIN,DAREBIN CITY,S097 1994 p20,"21890",,1899/11/30 00:00:00+00,856969543,2024/10/10 00:00:00+00,5
144.805380209357,-37.7428315762114,,857596450,"308","308",BRIMBANK,BRIMBANK CITY,S097 1994 p18,"21180",,1899/11/30 00:00:00+00,856969541,2024/10/10 00:00:00+00,5
144.948306583072,-37.8122585442759,,857596456,"343","343",MELBOURNE,MELBOURNE CITY,G050 2007 p3095,"24600",,1899/11/30 00:00:00+00,857371178,2024/10/10 00:00:00+00,5
145.061200156324,-37.8264406368873,,857596457,"307","307",BOROONDARA,BOROONDARA CITY,S035 1994 p18,"21110",,1899/11/30 00:00:00+00,857371179,2024/10/10 00:00:00+00,5
144.39281213255,-38.052118619819,,857413505,"327","327",GREATER GEELONG,GREATER GEELONG CITY,S008 1994 p7,"22750",,1899/11/30 00:00:00+00,856190180,2024/10/07 00:00:00+00,2
145.039120453867,-37.8613498287182,,857596458,"363","363",STONNINGTON,STONNINGTON CITY,S035 1994 p22,"26350",,1899/11/30 00:00:00+00,857371182,2024/10/10 00:00:00+00,5
145.086815974642,-37.7338364872392,,857596451,"303","303",BANYULE,BANYULE CITY,S097 1994 p17,"20660",,1899/11/30 00:00:00+00,856190174,2024/10/10 00:00:00+00,5
146.454486099432,-38.2539919610494,,857413506,"337","337",LATROBE,LATROBE CITY,S094 1994 p12,"23810",,1899/11/30 00:00:00+00,837408037,2024/10/07 00:00:00+00,1
144.986537730002,-37.8049247306628,,857596455,"376","376",YARRA,YARRA CITY,S035 1994 p14,"27350",,1899/11/30 00:00:00+00,856969546,2024/10/10 00:00:00+00,5
149.910037449243,-37.559055977517,,468592537,"389","389",GABO ISLAND (UNINC),GABO ISLAND (UNINCORPORATED),,"29399",,1899/11/30 00:00:00+00,310728610,2013/10/24 00:00:00+00,5
146.431323708432,-36.6163434632906,,550293890,"368","368",WANGARATTA,WANGARATTA RURAL CITY,G028 1996 p1872,"26700",,1899/11/30 00:00:00+00,540660454,2018/04/20 00:00:00+00,1
145.723962848355,-37.7499965731738,,857596449,"377","377",YARRA RANGES,YARRA RANGES SHIRE,G040 2003 p2574,"27450",,1899/11/30 00:00:00+00,821999870,2024/10/10 00:00:00+00,2
144.980390856698,-37.858578546532,,743233027,"358","358",PORT PHILLIP,PORT PHILLIP CITY,S035 1994 p26,"25900",,1899/11/30 00:00:00+00,739400718,2023/04/17 00:00:00+00,5
144.635968714381,-37.6813225572504,,857413504,"344","344",MELTON,MELTON CITY,G036 2012 p2017,"24650",,1899/11/30 00:00:00+00,856969540,2024/10/07 00:00:00+00,4
146.256778876001,-37.8439243648797,,808850953,"124107200","383",MOUNT BAW BAW ALPINE RESORT (UNINC),MOUNT BAW BAW ALPINE RESORT (UNINCORPORATED),,"29399",,2004/12/17 00:00:00+00,468592560,2023/10/30 00:00:00+00,5
143.557082430731,-38.4386131369499,,810305324,"314","314",COLAC OTWAY,COLAC OTWAY SHIRE,S063 1994 p10,"21750",,1899/11/30 00:00:00+00,805744890,2023/11/06 00:00:00+00,1
143.127370618111,-38.2159574202516,,810305322,"315","315",CORANGAMITE,CORANGAMITE SHIRE,S063 1994 p11,"21830",,1899/11/30 00:00:00+00,805744889,2023/11/06 00:00:00+00,1
142.372004428966,-38.1874363699994,,810305323,"354","354",MOYNE,MOYNE SHIRE,G003 1996 p205,"25490",,1899/11/30 00:00:00+00,798566876,2023/11/06 00:00:00+00,1
145.174615520198,-38.1340320442247,,812633108,"320","320",FRANKSTON,FRANKSTON CITY,S097 1994 p21,"22170",,1899/11/30 00:00:00+00,785173807,2023/11/24 00:00:00+00,5
146.031676909329,-36.5905264673549,,815857844,"381","381",BENALLA,BENALLA RURAL CITY,G042 2002 p2837,"21010",,2003/01/29 00:00:00+00,569517636,2023/12/04 00:00:00+00,1
145.876123311079,-37.5120636965635,,820277767,"124107201","385",LAKE MOUNTAIN ALPINE RESORT (UNINC),LAKE MOUNTAIN ALPINE RESORT (UNINCORPORATED),,"29399",,2004/12/17 00:00:00+00,806916804,2023/12/19 00:00:00+00,5
146.106912517444,-37.9699840904195,,820277770,"305","305",BAW BAW,BAW BAW SHIRE,S094 1994 p9,"20830",,1899/11/30 00:00:00+00,812373710,2023/12/19 00:00:00+00,1
