UFI,PFI,LGA_CODE,LGA_NAME,GAZ_LGA,GAZREGN,ABSLGACODE,TASK_ID,PFI_CR,UFI_OLD,UFI_CR,LABEL_USE_,total_station_count,station per 100000 person,fire_station_count,ambu_station_count,population,km2,persons/km2,poli_station_count,station_per_1000km2,station_per_100000
857371177,341,341,MARIBYRNONG,MARIBYRNONG CITY,S097 1994 p24,24330,,,856190177,4/10/2024,5,4,4,2,1,94251,31.2,3018.4,1,128.2051282,4.243986801
857371174,301,301,ARARAT,ARARAT RURAL CITY,G003 1996 p203,20260,,,840422431,4/10/2024,1,25,214,20,1,11686,4211.1,2.8,4,5.936691126,213.9311997
857413503,350,350,MOORABOOL,MOORABOOL SHIRE,S097 1994 p25,25150,,,856969539,7/10/2024,2,25,63,20,2,39814,2110.6,18.9,3,11.84497299,62.79198272
857413502,370,370,WELLINGTON,WELLINGTON SHIRE,S094 1994 p16,26810,,,837408034,7/10/2024,1,56,120,43,5,46533,10817.4,4.3,8,5.176844713,120.3447016
857596454,342,342,MAROONDAH,MAROONDAH CITY,S097 1994 p24,24410,,,855619793,10/10/2024,5,7,6,2,3,119354,61.4,1943.6,2,114.0065147,5.864906078
857596452,316,316,DAREBIN,DAREBIN CITY,S097 1994 p20,21890,,,856969543,10/10/2024,5,10,6,3,4,159963,53.5,2991.6,3,186.9158879,6.251445647
857596450,308,308,BRIMBANK,BRIMBANK CITY,S097 1994 p18,21180,,,856969541,10/10/2024,5,10,5,5,3,198152,123.4,1605.8,2,81.03727715,5.046630869
857596456,343,343,MELBOURNE,MELBOURNE CITY,G050 2007 p3095,24600,,,857371178,10/10/2024,5,11,6,4,3,189381,37.5,5044.1,4,293.3333333,5.80839683
857596457,307,307,BOROONDARA,BOROONDARA CITY,S035 1994 p18,21110,,,857371179,10/10/2024,5,8,4,2,3,178008,60.2,2958,3,132.8903654,4.494180037
857413505,327,327,GREATER GEELONG,GREATER GEELONG CITY,S008 1994 p7,22750,,,856190180,7/10/2024,2,34,12,19,8,289565,1248,232,7,27.24358974,11.74175056
857596458,363,363,STONNINGTON,STONNINGTON CITY,S035 1994 p22,26350,,,857371182,10/10/2024,5,5,4,2,1,114038,25.7,4445.8,2,194.5525292,4.384503411
857596451,303,303,BANYULE,BANYULE CITY,S097 1994 p17,20660,,,856190174,10/10/2024,5,7,5,2,3,131931,62.5,2109.5,2,112,5.305803791
857413506,337,337,LATROBE,LATROBE CITY,S094 1994 p12,23810,,,837408037,7/10/2024,1,32,41,23,4,78845,1425.6,55.3,5,22.44668911,40.58595979
857596455,376,376,YARRA,YARRA CITY,S035 1994 p14,27350,,,856969546,10/10/2024,5,7,7,1,3,100706,19.5,5153.3,3,358.974359,6.950926459
468592537,389,389,GABO ISLAND,GABO ISLAND (UNINCORPORATED),,29399,,,310728610,24/10/2013,5,0,,,,,,,,,
550293890,368,368,WANGARATTA,WANGARATTA RURAL CITY,G028 1996 p1872,26700,,,540660454,20/04/2018,1,30,99,25,1,30169,3645.1,8.3,4,8.23022688,99.43982233
857596449,377,377,YARRA RANGES,YARRA RANGES SHIRE,G040 2003 p2574,27450,,,821999870,10/10/2024,2,53,33,38,5,160137,2468.2,64.9,10,21.47313832,33.09666098
743233027,358,358,PORT PHILLIP,PORT PHILLIP CITY,S035 1994 p26,25900,,,739400718,17/04/2023,5,7,6,1,3,112669,20.6,5465.6,3,339.8058252,6.212889082
857413504,344,344,MELTON,MELTON CITY,G036 2012 p2017,24650,,,856969540,7/10/2024,4,13,6,8,3,219697,527.5,416.5,2,24.64454976,5.917240563
808850953,124107200,383,MOUNT BAW BAW ALPINE RESORT,MOUNT BAW BAW ALPINE RESORT (UNINCORPORATED),,29399,,17/12/2004,468592560,30/10/2023,5,1,,,,,,,,,
810305324,314,314,COLAC OTWAY,COLAC OTWAY SHIRE,S063 1994 p10,21750,,,805744890,6/11/2023,1,36,161,27,2,22300,3437.5,6.5,7,10.47272727,161.4349776
810305322,315,315,CORANGAMITE,CORANGAMITE SHIRE,S063 1994 p11,21830,,,805744889,6/11/2023,1,46,290,34,5,15846,4407.5,3.6,7,10.43675553,290.2940805
810305323,354,354,MOYNE,MOYNE SHIRE,G003 1996 p205,25490,,,798566876,6/11/2023,1,53,299,46,3,17717,5481.7,3.2,4,9.668533484,299.1477112
812633108,320,320,FRANKSTON,FRANKSTON CITY,S097 1994 p21,22170,,,785173807,24/11/2023,5,9,6,4,3,144615,129.6,1115.9,2,69.44444444,6.223420807
815857844,381,381,BENALLA,BENALLA RURAL CITY,G042 2002 p2837,21010,,29/01/2003,569517636,4/12/2023,1,21,143,19,1,14635,2352.6,6.2,1,8.926294313,143.4916297
820277767,124107201,385,LAKE MOUNTAIN ALPINE RESORT,LAKE MOUNTAIN ALPINE RESORT (UNINCORPORATED),,29399,,17/12/2004,806916804,19/12/2023,5,0,,,,,,,,,
820277770,305,305,BAW BAW,BAW BAW SHIRE,S094 1994 p9,20830,,,812373710,19/12/2023,1,28,45,20,3,61905,4027.6,15.4,5,6.952030986,45.23059527
